Complaint,OffenseDescription,Description,Attempted,CategoryCode,Borough,Location,PremiseType
352974594,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,MANHATTAN,INSIDE,PARKING LOT/GARAGE (PUBLIC)
864269523,PETIT LARCENY,LARCENY PETIT OF VEHICLE ACCES,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
562225781,DANGEROUS WEAPONS,WEAPONS  POSSESSION  ETC,COMPLETED,MISDEMEANOR,BRONX,,STREET
556421598,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
902164715,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
738387185,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
212468194,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,,BUS (NYC TRANSIT)
801892994,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,MANHATTAN,,STREET
937677268,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
139371602,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET
313494326,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,,TRANSIT - NYC SUBWAY
963730260,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,BRONX,,STREET
386369780,GRAND LARCENY,LARCENY GRAND BY IDENTITY THEFT-UNCLASSIFIED,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
542521951,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
626387613,DANGEROUS DRUGS,MARIJUANA  POSSESSION 4 & 5,COMPLETED,MISDEMEANOR,BRONX,INSIDE,PUBLIC BUILDING
447053381,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,BRONX,INSIDE,COMMERCIAL BUILDING
691959301,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
879664236,GRAND LARCENY,LARCENY GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
422588075,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING
206738066,BURGLARY,BURGLARY COMMERCIAL NIGHT,ATTEMPTED,FELONY,MANHATTAN,FRONT OF,COMMERCIAL BUILDING
717870888,ROBBERY,ROBBERY PERSONAL ELECTRONIC DEVICE,COMPLETED,FELONY,BRONX,OPPOSITE OF,STREET
179553348,ROBBERY,ROBBERY PERSONAL ELECTRONIC DEVICE,COMPLETED,FELONY,BRONX,FRONT OF,STREET
171926672,GRAND LARCENY,LARCENY GRAND BY ACQUIRING LOST CREDIT CARD,COMPLETED,FELONY,BRONX,INSIDE,JEWELRY
970681444,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
391488658,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
208144347,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE
120869742,ROBBERY,ROBBERY RESIDENTIAL COMMON AREA,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE
344074289,THEFT-FRAUD,FRAUD UNCLASSIFIED-FELONY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
632112376,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
374371054,ASSAULT 3 & RELATED OFFENSES,MENACING UNCLASSIFIED,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
560678222,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
230791385,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,BUS (NYC TRANSIT)
559335485,GRAND LARCENY,LARCENY GRAND BY ACQUIRING LOST CREDIT CARD,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
773490224,CRIMINAL MISCHIEF & RELATED OF,MISCHIEF  CRIMINAL 4  OF MOTOR,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET
230742907,FORGERY,FORGERY ETC. UNCLASSIFIED-FELO,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
423945075,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
161063679,DANGEROUS DRUGS,CONTROLLED SUBSTANCE  POSSESSI,COMPLETED,MISDEMEANOR,BRONX,OPPOSITE OF,STREET
298758360,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,FRONT OF,RESIDENCE - APT. HOUSE
306693528,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING
513543060,PETIT LARCENY,LARCENY PETIT FROM AUTO,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
435942250,GRAND LARCENY,LARCENY GRAND FROM PERSON PICK,COMPLETED,FELONY,BRONX,FRONT OF,OTHER
296845874,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
762650299,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
738949070,GRAND LARCENY,LARCENY GRAND FROM RESIDENCE  UNATTENDED,COMPLETED,FELONY,BRONX,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING
338616669,BURGLARY,BURGLARY RESIDENCE DAY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE
514736028,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE
375370026,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
871938786,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE
698405009,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
224611902,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BRONX,,STREET
213800260,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,FRONT OF,STREET
270370551,PETIT LARCENY,LARCENY PETIT FROM AUTO,COMPLETED,MISDEMEANOR,BRONX,,STREET
609066188,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
649417020,VEHICLE AND TRAFFIC LAWS,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET
577323704,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE
136885274,CRIMINAL MISCHIEF & RELATED OF,MISCHIEF  CRIMINAL 3 & 2  OF M,COMPLETED,FELONY,MANHATTAN,OPPOSITE OF,STREET
641545257,CRIMINAL MISCHIEF & RELATED OF,MISCHIEF  CRIMINAL 4  OF MOTOR,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
216402715,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
499229375,GRAND LARCENY,LARCENY GRAND FROM VEHICLE/MOTORCYCLE,COMPLETED,FELONY,BRONX,REAR OF,STREET
474586119,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BRONX,,STREET
803105703,ASSAULT 3 & RELATED OFFENSES,MENACING UNCLASSIFIED,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
